# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
OG0009148	tr|A0A6P5RE56|A0A6P5RE56_PRUAV	***	protein EFR3 homolog B		
OG0010137	tr|A0A5D3CZT8|A0A5D3CZT8_CUCME	***	Root phototropism protein 2		
OG0009149	tr|A0A0A0LFD7|A0A0A0LFD7_CUCSA	***	S-acyltransferase		
OG0010138	tr|A0A1R3H6P3|A0A1R3H6P3_COCAP	***	Cytochrome P450		
OG0012799	tr|A0A5D3CUC0|A0A5D3CUC0_CUCME	***	Thaumatin-like protein 1		
OG0010135	tr|A0A0A0KVA9|A0A0A0KVA9_CUCSA	***	Pectinesterase		
OG0012798	tr|A0A1S3BEQ9|A0A1S3BEQ9_CUCME	***	ultraviolet-B receptor UVR8 isoform X1		
OG0010136	tr|A0A1S3BTN7|A0A1S3BTN7_CUCME	***	VQ motif-containing protein 22-like		
OG0012797	tr|A0A6J1HXH5|A0A6J1HXH5_CUCMA	***	protein PTST homolog 2, chloroplastic-like isoform X2		
OG0009144	tr|A0A0A0LBJ6|A0A0A0LBJ6_CUCSA	***	Remorin		
OG0010133	tr|A0A0A0KYN2|A0A0A0KYN2_CUCSA	***	Coproporphyrinogen oxidase		
OG0012796	tr|A0A0A0KSJ7|A0A0A0KSJ7_CUCSA	***	DYW_deaminase domain-containing protein		
OG0009145	tr|A0A6J1J7H5|A0A6J1J7H5_CUCMA	***	kinesin-like protein KIN-14P		
OG0010134	tr|A0A1S3BTB9|A0A1S3BTB9_CUCME	***	ATPase WRNIP1		
OG0012795	tr|A0A5D3CUH6|A0A5D3CUH6_CUCME	***	Protein NRT1/ PTR FAMILY 2.13-like		
OG0009146	tr|E5GBY7|E5GBY7_CUCME	***	40S ribosomal protein s2		
OG0010131	tr|A0A346DA05|A0A346DA05_CUCPE	***	Carotenoid cleavage dioxygenase		
OG0012794	AT1G27090.1	***	glycine-rich protein		
OG0009147	AT3G57420.1	***	Protein of unknown function (DUF288)		
OG0010132	AT4G16330.2	***	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein		
OG0012793	tr|A0A0A0KQG0|A0A0A0KQG0_CUCSA	***	Thioredoxin h		
OG0012792	tr|A0A1S3BFJ0|A0A1S3BFJ0_CUCME	***	dnaJ homolog subfamily B member 1		
OG0010130	tr|A0A6P5YDB7|A0A6P5YDB7_DURZI	***	ATP-diphosphatase		
OG0012791	tr|A0A0A0KQG9|A0A0A0KQG9_CUCSA	***	DUF569 domain-containing protein		
OG0012790	tr|A0A5D3CYP1|A0A5D3CYP1_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0022108	tr|A0A061EEU1|A0A061EEU1_THECC	*-*	RING/U-box superfamily protein		
OG0022107			Unknown protein		
OG0024769	tr|A0A5D3CMZ8|A0A5D3CMZ8_CUCME	*-*	BTB/POZ domain-containing protein		
OG0022109	tr|A0A0A0KUH4|A0A0A0KUH4_CUCSA	*-*	Cinnamoyl-CoA reductase 14		
OG0022104			Unknown protein		
OG0024767	tr|A0A1S3BN50|A0A1S3BN50_CUCME	*-*	ent-copalyl diphosphate synthase, chloroplastic		
OG0022103			Unknown protein		
OG0024768	tr|A0A6P4C744|A0A6P4C744_ARADU	***	LOW QUALITY PROTEIN: uncharacterized protein LOC107467256		
OG0022106			Unknown protein		
OG0024765			Unknown protein		
OG0022105			Unknown protein		
OG0024766			Unknown protein		
OG0022100	tr|A0A1S3C457|A0A1S3C457_CUCME	*-*	TATA-binding protein-associated factor BTAF1		
OG0024763			Unknown protein		
OG0024764			Unknown protein		
OG0022102			Unknown protein		
OG0024761	tr|A0A1S3CNH7|A0A1S3CNH7_CUCME	*-*	UDP-glycosyltransferase 87A1-like		
OG0022101	tr|A0A5B6X1S1|A0A5B6X1S1_9ROSI	***	Auxin-responsive protein SAUR23-like		
OG0024762	tr|A0A0A0KE12|A0A0A0KE12_CUCSA	*-*	E1 ubiquitin-activating enzyme		
OG0009130	tr|A0A6J1F328|A0A6J1F328_CUCMO	***	disease resistance protein RGA2-like		
OG0024760	tr|A0A0A0KE09|A0A0A0KE09_CUCSA	*-*	(1->3)-beta-glucan endohydrolase		
OG0009131			Unknown protein		
OG0009132	AT2G41050.1	***	PQ-loop repeat family protein / transmembrane family protein		
OG0010119	tr|A0A5A7TFJ0|A0A5A7TFJ0_CUCME	***	Anthranilate N-benzoyltransferase protein 1		
OG0010117	tr|A0A2P5BVE4|A0A2P5BVE4_PARAD	***	Late embryogenesis abundant protein		
OG0010118	tr|A0A5D3CYQ1|A0A5D3CYQ1_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0012779	tr|A0A1S3BFC6|A0A1S3BFC6_CUCME	***	protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB4, chloroplastic		
OG0009137	tr|E5GBX9|E5GBX9_CUCME	***	Serine carboxypeptidase		
OG0010126	AT4G19350.1	***	embryo defective 3006		
OG0012789	tr|A0A2P5FQG2|A0A2P5FQG2_TREOI	***	Actin cross-linking		
OG0009138	tr|A0A0A0LEP4|A0A0A0LEP4_CUCSA	***	Arf-GAP domain-containing protein		
OG0010127	tr|A0A1S3BTM7|A0A1S3BTM7_CUCME	***	abscisic acid 8'-hydroxylase 1		
OG0012788	tr|A0A0A0KQF4|A0A0A0KQF4_CUCSA	***	Protein kinase domain-containing protein		
OG0009139	tr|Q0ZPA2|Q0ZPA2_CUCSA	***	MYB transcription factor		
OG0010124	tr|A0A5A7TFZ2|A0A5A7TFZ2_CUCME	***	NDR1/HIN1-like protein 12		
OG0012787	tr|A0A0A0KSI1|A0A0A0KSI1_CUCSA	***	Tetratricopeptide repeat protein 38		
OG0010125	tr|A0A2I4FRH1|A0A2I4FRH1_JUGRE	*-*	protein MODIFYING WALL LIGNIN-2-like		
OG0012786	tr|A0A1S3BEP7|A0A1S3BEP7_CUCME	***	hydroxyproline O-galactosyltransferase GALT6		
OG0009133			Unknown protein		
OG0010122	tr|A0A0A0L015|A0A0A0L015_CUCSA	***	RING-type domain-containing protein		
OG0012785	tr|A0A061E5L2|A0A061E5L2_THECC	***	Leucine-rich repeat receptor protein kinase family protein		
OG0009134	tr|A0A1S3B7G5|A0A1S3B7G5_CUCME	***	protein PLANT CADMIUM RESISTANCE 10		
OG0010123	tr|A0A0A0KYL2|A0A0A0KYL2_CUCSA	***	Beta-amylase		
OG0012784	tr|A0A0A0KVS2|A0A0A0KVS2_CUCSA	***	DUF1336 domain-containing protein		
OG0009135	tr|A0A0A0LFB0|A0A0A0LFB0_CUCSA	***	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial		
OG0010120	tr|A0A0A0KX83|A0A0A0KX83_CUCSA	***	Pectin acetylesterase		
OG0012783	tr|A0A0A0KSH4|A0A0A0KSH4_CUCSA	***	Phospholipid-transporting ATPase		
OG0009136	tr|A0A1S3B7E4|A0A1S3B7E4_CUCME	***	membrane steroid-binding protein 2-like		
OG0010121	tr|A0A1Q3AMV2|A0A1Q3AMV2_CEPFO	***	Profilin domain-containing protein		
OG0012782	tr|A0A2I4EI69|A0A2I4EI69_JUGRE	***	CLAVATA3/ESR (CLE)-related protein 25-like		
OG0012781	tr|A0A5D3CVK3|A0A5D3CVK3_CUCME	***	EF-hand domain-containing protein		
OG0012780	tr|A0A1S3BE68|A0A1S3BE68_CUCME	***	transcription factor MYB1R1		
OG0024758	sp|P54778|PRS6B_SOLTU	*-*	26S proteasome regulatory subunit 6B homolog		
OG0024759	tr|A0A1S3C2P2|A0A1S3C2P2_CUCME	***	protein TOO MANY MOUTHS		
OG0000789	tr|A0A0A0LCW9|A0A0A0LCW9_CUCSA	***	Protein kinase domain-containing protein		
OG0024756	tr|A0A1S3BJ11|A0A1S3BJ11_CUCME	*-*	ankyrin repeat domain-containing protein 2B		
OG0024757	tr|A0A1S3BJM0|A0A1S3BJM0_CUCME	*-*	ethylene-responsive transcription factor ERF054-like		
OG0024754	tr|A0A6J1FVJ0|A0A6J1FVJ0_CUCMO	*-*	transcriptional regulator STERILE APETALA-like		
OG0024755			Unknown protein		
OG0024752	tr|A0A0A0K8Y6|A0A0A0K8Y6_CUCSA	*-*	Gibberellin receptor GID1		
OG0024753	tr|A0A5A7TT08|A0A5A7TT08_CUCME	*-*	AT-hook motif nuclear-localized protein 22-like		
OG0024750	AT3G02645.1	*-*	Plant protein of unknown function (DUF247)		
OG0024751	tr|A0A0A0KB84|A0A0A0KB84_CUCSA	*-*	CAP10 domain-containing protein		
OG0009120			Unknown protein		
OG0009121	tr|A0A0A0LBG7|A0A0A0LBG7_CUCSA	***	DNA topoisomerase		
OG0010108	tr|A0A1S3BSN5|A0A1S3BSN5_CUCME	***	trihelix transcription factor GT-3b-like		
OG0010109	tr|A0A0A0KYI4|A0A0A0KYI4_CUCSA	***	Protein kinase domain-containing protein		
OG0010106	tr|A0A6J1C4M4|A0A6J1C4M4_MOMCH	***	protein KINESIN LIGHT CHAIN-RELATED 1		
OG0012769	tr|A0A1S3BEM4|A0A1S3BEM4_CUCME	***	zinc finger protein 5		
OG0010107	tr|A0A061G768|A0A061G768_THECC	***	Ankyrin repeat family protein		
OG0012768	tr|A0A5A7ST02|A0A5A7ST02_CUCME	***	IAA-amino acid hydrolase ILR1-like 4		
OG0009126	tr|A0A1S3B859|A0A1S3B859_CUCME	*-*	14 kDa zinc-binding protein		
OG0010115	AT4G19460.1	***	UDP-Glycosyltransferase superfamily protein		
OG0012778	tr|A0A0A0KTU0|A0A0A0KTU0_CUCSA	***	Glycosyltransferase family 92 protein		
OG0009127	tr|A0A1S4DUJ0|A0A1S4DUJ0_CUCME	***	protein PHYTOCHROME KINASE SUBSTRATE 4		
OG0010116	tr|A0A1S3BTD8|A0A1S3BTD8_CUCME	***	protein NUCLEAR FUSION DEFECTIVE 4		
OG0012777	tr|A0A1S3BEN6|A0A1S3BEN6_CUCME	***	paired amphipathic helix protein Sin3-like 4 isoform X1		
OG0009128	tr|A0A6J1F328|A0A6J1F328_CUCMO	***	disease resistance protein RGA2-like		
OG0010113	tr|A0A5A7TUQ2|A0A5A7TUQ2_CUCME	***	Hepatoma-derived growth factor-related protein 2-like		
OG0012776	tr|A0A0A0KQD6|A0A0A0KQD6_CUCSA	***	Pyruvate dehydrogenase E1 component subunit alpha		
OG0009129	tr|A0A6J1F328|A0A6J1F328_CUCMO	***	disease resistance protein RGA2-like		
OG0010114	tr|A0A0A0KV75|A0A0A0KV75_CUCSA	***	Protein kinase domain-containing protein		
OG0012775	tr|A0A0A0KQE4|A0A0A0KQE4_CUCSA	***	Hexosyltransferase		
OG0009122	tr|A0A0A0LH35|A0A0A0LH35_CUCSA	***	FSH1 domain-containing protein		
OG0010111	tr|A0A6J1FTN9|A0A6J1FTN9_CUCMO	***	aspartic proteinase CDR1-like		
OG0012774	tr|A0A5A7SZ14|A0A5A7SZ14_CUCME	***	Protein WVD2-like 7		
OG0009123	tr|A0A438BY11|A0A438BY11_VITVI	***	VARLMGL domain-containing protein		
OG0010112	tr|A0A6J1FP39|A0A6J1FP39_CUCMO	***	aspartic proteinase CDR1-like		
OG0012773	tr|A0A0A0KVR0|A0A0A0KVR0_CUCSA	***	Formin-like protein		
OG0000790	AT1G60710.1	***	NAD(P)-linked oxidoreductase superfamily protein		
OG0009124	tr|A0A6J1DT48|A0A6J1DT48_MOMCH	***	ribosome production factor 1-like		
OG0012772	tr|A0A2P5BCM5|A0A2P5BCM5_PARAD	***	Two-component response regulator		
OG0000791	tr|A0A5A7TS68|A0A5A7TS68_CUCME	*-*	Tetratricopeptide-like helical		
OG0009125	tr|A0A6J1G5N3|A0A6J1G5N3_CUCMO	***	myb family transcription factor PHL7-like		
OG0010110	tr|A0A6J1EY42|A0A6J1EY42_CUCMO	***	aspartic proteinase CDR1-like		
OG0012771	tr|A0A6J1FU55|A0A6J1FU55_CUCMO	***	zinc finger MYND domain-containing protein 15		
OG0000792	tr|A0A0A0KZA3|A0A0A0KZA3_CUCSA	***	Tubulin-folding cofactor C		
OG0012770	tr|A0A5A7SYR5|A0A5A7SYR5_CUCME	***	Zinc finger, MYND-type		
OG0000793	tr|A0A0A0KUI1|A0A0A0KUI1_CUCSA	***	Peroxidase		
OG0000794	tr|A0A1S3BYB8|A0A1S3BYB8_CUCME	***	major pollen allergen Lol p 11-like		
OG0000795	tr|A0A5A7TPP9|A0A5A7TPP9_CUCME	***	Cation/H(+) antiporter 18-like		
OG0000796	tr|A0A1S4E3Y5|A0A1S4E3Y5_CUCME	***	GTP diphosphokinase		
OG0024749	tr|Q5DMV1|Q5DMV1_CUCME	*-*	Receptor lectin protein kinase-like		
OG0000797	tr|A0A5N6QWA9|A0A5N6QWA9_9ROSI	***	AB hydrolase-1 domain-containing protein		
OG0000798	tr|A0A1S3B931|A0A1S3B931_CUCME	***	non-specific lipid-transfer protein 2-like		
OG0024747	tr|A0A1S3CAR1|A0A1S3CAR1_CUCME	*-*	thylakoid membrane protein slr0575		
OG0000799	tr|A0A5A7T1X8|A0A5A7T1X8_CUCME	*-*	SWIM-type domain-containing protein		
OG0024748	tr|A0A6J1C2U8|A0A6J1C2U8_MOMCH	--*	exopolygalacturonase-like		
OG0000778	tr|A0A0A0L777|A0A0A0L777_CUCSA	***	LRRNT_2 domain-containing protein		
OG0024745	tr|A0A5D3CDB5|A0A5D3CDB5_CUCME	*-*	Annexin D4-like isoform X2		
OG0000779	tr|A0A5A7UAF3|A0A5A7UAF3_CUCME	***	Cation/H(+) antiporter 4-like		
OG0024746	tr|A0A5A7T9B9|A0A5A7T9B9_CUCME	*-*	Phosphate transporter PHO1-like protein 9-like		
OG0024743	tr|A0A6J1JV85|A0A6J1JV85_CUCMA	*-*	crossover junction endonuclease MUS81		
OG0024744	tr|A0A6J1GYZ8|A0A6J1GYZ8_CUCMO	*-*	crossover junction endonuclease MUS81		
OG0024741	tr|A0A0A0KRD9|A0A0A0KRD9_CUCSA	*-*	Uricase		
OG0024742	tr|A0A2H5PYB4|A0A2H5PYB4_CITUN	*-*	N-acetyltransferase domain-containing protein		
OG0024740	tr|A0A0A0KUN8|A0A0A0KUN8_CUCSA	*-*	Pectinesterase		
OG0009110	tr|A0A0A0LEK5|A0A0A0LEK5_CUCSA	***	Protein N-terminal glutamine amidohydrolase		
OG0012759	tr|A0A0A0KQA9|A0A0A0KQA9_CUCSA	***	AD domain-containing protein		
OG0012758	tr|A0A1S3BFE8|A0A1S3BFE8_CUCME	***	protein ALTERED XYLOGLUCAN 4		
OG0012757	tr|A0A0A0KQC0|A0A0A0KQC0_CUCSA	***	N-acetyltransferase domain-containing protein		
OG0009115	tr|A0A6J1I653|A0A6J1I653_CUCMA	***	WUSCHEL-related homeobox 11-like		
OG0010104	tr|A0A1S3BTE9|A0A1S3BTE9_CUCME	***	cellulose synthase-like protein G3		
OG0012767	tr|A0A1S3BFF8|A0A1S3BFF8_CUCME	***	DEAD-box ATP-dependent RNA helicase 22		
OG0009116	tr|A0A2P5CU91|A0A2P5CU91_PARAD	***	MYB transcription factor		
OG0010105	tr|A0A0A0KV06|A0A0A0KV06_CUCSA	***	Bidirectional sugar transporter SWEET		
OG0012766	tr|A0A0A0KQD3|A0A0A0KQD3_CUCSA	***	DNA polymerase		
OG0009117	tr|A0A0A0LBG1|A0A0A0LBG1_CUCSA	***	AB hydrolase-1 domain-containing protein		
OG0010102	tr|A0A0A0KX41|A0A0A0KX41_CUCSA	***	Auxin response factor		
OG0012765	tr|A0A6J1GWZ9|A0A6J1GWZ9_CUCMO	***	protein PLASTID REDOX INSENSITIVE 2, chloroplastic-like		
OG0009118	tr|A0A1S3B849|A0A1S3B849_CUCME	***	zinc finger protein VAR3, chloroplastic		
OG0010103	tr|A0A1S4DYU2|A0A1S4DYU2_CUCME	***	cellulose synthase-like protein G3		
OG0012764	tr|A0A5D3CWF5|A0A5D3CWF5_CUCME	***	Thiol-disulfide oxidoreductase DCC		
OG0009111	AT1G02850.2	***	beta glucosidase 11		
OG0010100	tr|A0A5B6UQH4|A0A5B6UQH4_9ROSI	*-*	Ubiquitin ligase SINAT3		
OG0012763	tr|A0A0A0KQB6|A0A0A0KQB6_CUCSA	***	B-like cyclin		
OG0009112	AT1G02850.2	***	beta glucosidase 11		
OG0010101	tr|A0A2R6QMZ1|A0A2R6QMZ1_ACTCC	***	Dihydroxy-acid dehydratase		
OG0012762	tr|A0A6J1DB25|A0A6J1DB25_MOMCH	***	protein PLASTID REDOX INSENSITIVE 2-like		
OG0009113	tr|A0A5D3DPM9|A0A5D3DPM9_CUCME	***	Villin-3		
OG0012761	tr|A0A5D3CUK3|A0A5D3CUK3_CUCME	***	Serine/threonine-protein kinase TAO3		
OG0000780	tr|A0A1S3BIK2|A0A1S3BIK2_CUCME	***	inorganic phosphate transporter 1-4		
OG0009114			Unknown protein		
OG0012760	tr|A0A1S3BE35|A0A1S3BE35_CUCME	***	nucleobase-ascorbate transporter 7		
OG0000781	tr|A0A2P5C4F5|A0A2P5C4F5_TREOI	***	Basic helix-loop-helix transcription factor		
OG0000782	tr|A0A0A0LDT1|A0A0A0LDT1_CUCSA	***	UDP-glucuronate decarboxylase		
OG0000783	tr|A0A6J1E227|A0A6J1E227_MOMCH	***	amino acid transporter AVT1I-like		
OG0000784	tr|A0A0A0LG21|A0A0A0LG21_CUCSA	***	DUF2428 domain-containing protein		
OG0000785	tr|A0A2P5DRU3|A0A2P5DRU3_TREOI	***	Seed maturation-like protein		
OG0009119	tr|A0A5D3DQ32|A0A5D3DQ32_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0024738			Unknown protein		
OG0000786	tr|A0A5A7UD26|A0A5A7UD26_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0024739	tr|A0A0A0KSI1|A0A0A0KSI1_CUCSA	*-*	Tetratricopeptide repeat protein 38		
OG0000787	tr|A0A1S4E4X2|A0A1S4E4X2_CUCME	***	beta-glucosidase BoGH3B-like		
OG0024736	tr|A0A1S3CK14|A0A1S3CK14_CUCME	*-*	zinc finger CCCH domain-containing protein 53-like		
OG0000788	AT1G24030.2	***	Protein kinase superfamily protein		
OG0024737			Unknown protein		
OG0022159			Unknown protein		
OG0022158	tr|A0A218WXK4|A0A218WXK4_PUNGR	*-*	Rep-A_N domain-containing protein		
OG0022155	tr|A0A5D3CFX4|A0A5D3CFX4_CUCME	*-*	R3H domain-containing protein 2-like		
OG0022154	tr|A0A0A0KFC7|A0A0A0KFC7_CUCSA	*-*	WRKY domain-containing protein		
OG0022157			Unknown protein		
OG0022156	tr|A0A6J1BZ22|A0A6J1BZ22_MOMCH	*-*	Non-specific serine/threonine protein kinase		
OG0009184	tr|A0A5A7UH59|A0A5A7UH59_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0022151			Unknown protein		
OG0009185	tr|A0A5D3DPR9|A0A5D3DPR9_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0022150	tr|A0A5D3CQG1|A0A5D3CQG1_CUCME	***	G-type lectin S-receptor-like serine/threonine-protein kinase		
OG0009186	tr|A0A5A7UF97|A0A5A7UF97_CUCME	***	Glutaredoxin		
OG0022153	tr|E7CEY0|E7CEY0_CUCSA	*-*	WRKY protein		
OG0009187	tr|A0A1S3B7M5|A0A1S3B7M5_CUCME	***	DNA-directed RNA polymerase V subunit 5A		
OG0022152	tr|A0A6J1FGJ9|A0A6J1FGJ9_CUCMO	*-*	mitochondrial import inner membrane translocase subunit TIM44-2		
OG0009180	tr|A0A7J7DV83|A0A7J7DV83_TRIWF	***	Strictosidine synthase family protein		
OG0009181	tr|A0A1S3B7P3|A0A1S3B7P3_CUCME	***	two-component response regulator ORR9-like		
OG0009182	AT3G10250.2	***	Plant protein 1589 of unknown function		
OG0009183	tr|A0A0A0LHG7|A0A0A0LHG7_CUCSA	***	Condensin complex subunit 1		
OG0010179	tr|A0A1S3BSD4|A0A1S3BSD4_CUCME	***	heme-binding protein 2		
OG0009188	tr|A0A6J1F9L3|A0A6J1F9L3_CUCMO	***	ganglioside-induced differentiation-associated protein 2		
OG0010177	AT1G17120.1	***	cationic amino acid transporter 8		
OG0009189	AT2G41370.1	***	Ankyrin repeat family protein / BTB/POZ domain-containing protein		
OG0010178	tr|A0A1S3BRQ7|A0A1S3BRQ7_CUCME	***	gibberellin 2-beta-dioxygenase 1		
OG0010175	sp|P28034|CAMT_PETCR	***	Caffeoyl-CoA O-methyltransferase		
OG0010176	tr|A0A346DA07|A0A346DA07_CUCMA	***	9-cis-epoxycarotenoid dioxygenase		
OG0010173	tr|A0A0A0KXI2|A0A0A0KXI2_CUCSA	***	Ubiquitin carboxyl-terminal hydrolase		
OG0010174	AT3G14410.1	***	Nucleotide/sugar transporter family protein		
OG0010171	tr|A0A0A0KVH1|A0A0A0KVH1_CUCSA	***	Glutathione S-transferase		
OG0010172	tr|A0A0A0KVH1|A0A0A0KVH1_CUCSA	***	Glutathione S-transferase		
OG0010170	tr|A0A0A0KXH9|A0A0A0KXH9_CUCSA	***	Glutathione S-transferase		
OG0022148			Unknown protein		
OG0022147			Unknown protein		
OG0022149	AT5G42830.1	***	HXXXD-type acyl-transferase family protein		
OG0022144	tr|A0A1S3C531|A0A1S3C531_CUCME	*-*	U3 small nucleolar RNA-associated protein 20		
OG0022143	sp|P54776|PRS6A_SOLLC	***	26S proteasome regulatory subunit 6A homolog		
OG0022146			Unknown protein		
OG0022145	tr|A0A5D3DWV6|A0A5D3DWV6_CUCME	*-*	Transportin-3 isoform X2		
OG0009173	tr|M1D3L6|M1D3L6_SOLTU	***	Amino acid transporter family protein		
OG0022140	tr|A0A6J1FGJ9|A0A6J1FGJ9_CUCMO	*-*	mitochondrial import inner membrane translocase subunit TIM44-2		
OG0009174	AT2G41190.1	***	Transmembrane amino acid transporter family protein		
OG0009175	tr|A0A5A7UF56|A0A5A7UF56_CUCME	***	Ferredoxin-dependent glutamate synthase		
OG0022142	tr|A0A1S3C8V0|A0A1S3C8V0_CUCME	***	alpha-glucosidase		
OG0009176	tr|A0A6J1F501|A0A6J1F501_CUCMO	***	kinesin-like protein KIN-7O		
OG0022141			Unknown protein		
OG0009170	tr|A0A0A0LHE3|A0A0A0LHE3_CUCSA	***	Ipi1_N domain-containing protein		
OG0009171	tr|A0A0A0LFH5|A0A0A0LFH5_CUCSA	***	VQ domain-containing protein		
OG0009172	tr|A0A1S3B748|A0A1S3B748_CUCME	***	amino acid transporter ANT1-like		
OG0010168	tr|M5WJL1|M5WJL1_PRUPE	***	Kinesin-like protein		
OG0010169	tr|A0A1S3BRT1|A0A1S3BRT1_CUCME	***	serine/threonine-protein kinase WAG1		
OG0009177	tr|A0A1S3B7L0|A0A1S3B7L0_CUCME	***	ribosomal RNA small subunit methyltransferase NEP1		
OG0010166	tr|A0A0A0KVC7|A0A0A0KVC7_CUCSA	***	CASP-like protein		
OG0009178	tr|A0A1S3B7N8|A0A1S3B7N8_CUCME	***	haloacid dehalogenase-like hydrolase domain-containing protein 3		
OG0010167	tr|A0A0A0L095|A0A0A0L095_CUCSA	*-*	Kinesin motor domain-containing protein		
OG0009179	tr|A0A1S3B8C5|A0A1S3B8C5_CUCME	***	protein STRICTOSIDINE SYNTHASE-LIKE 2		
OG0010164	tr|A0A2P5FD12|A0A2P5FD12_TREOI	***	Protein Iojap/ribosomal silencing factor RsfS		
OG0010165	tr|A0A2P5FZM1|A0A2P5FZM1_TREOI	***	Serine/arginine repetitive matrix-like protein		
OG0010162	tr|A0A5A7R650|A0A5A7R650_STRAF	***	Kinase family protein		
OG0010163	tr|A0A0A0KYT7|A0A0A0KYT7_CUCSA	***	J domain-containing protein		
OG0010160	tr|A0A0A0KXH3|A0A0A0KXH3_CUCSA	***	Photosystem II 10 kDa polypeptide, chloroplastic		
OG0010161	AT1G56000.1	***	FAD/NAD(P)-binding oxidoreductase family protein		
OG0022137	tr|A0A072TTW3|A0A072TTW3_MEDTR	***	Transmembrane protein, putative		
OG0022136	AT1G63690.1	*-*	SIGNAL PEPTIDE PEPTIDASE-LIKE 2		
OG0022139			Unknown protein		
OG0024798			Unknown protein		
OG0022138	tr|A0A5D3CFX4|A0A5D3CFX4_CUCME	*-*	R3H domain-containing protein 2-like		
OG0024799	tr|A0A5A7UT40|A0A5A7UT40_CUCME	***	Aldehyde dehydrogenase family 2 member B4		
OG0022133			Unknown protein		
OG0024796	tr|A0A1S3BYA5|A0A1S3BYA5_CUCME	*-*	Lipoxygenase		
OG0022132	tr|A0A3P6D6P0|A0A3P6D6P0_BRACM	***	Cytochrome c oxidase subunit 3		
OG0024797	tr|A0A1S3CLV1|A0A1S3CLV1_CUCME	*-*	omega-hydroxypalmitate O-feruloyl transferase		
OG0022135			Unknown protein		
OG0024794	tr|A0A5A7UNF2|A0A5A7UNF2_CUCME	***	Carboxypeptidase Y-like		
OG0022134	tr|A0A6J1FGJ9|A0A6J1FGJ9_CUCMO	*-*	mitochondrial import inner membrane translocase subunit TIM44-2		
OG0024795	tr|A0A1S3CDT7|A0A1S3CDT7_CUCME	*-*	terpene synthase 10-like		
OG0009162	tr|A0A0A0LBM2|A0A0A0LBM2_CUCSA	***	WAT1-related protein		
OG0024792			Unknown protein		
OG0009163	tr|B9SJN4|B9SJN4_RICCO	***	Cytochrome P450, putative		
OG0024793	tr|A0A6P4NN00|A0A6P4NN00_GOSAR	*-*	5' exonuclease Apollo-like isoform X1		
OG0009164	tr|A0A0A0LCA0|A0A0A0LCA0_CUCSA	***	V-type proton ATPase subunit H		
OG0022131	tr|A0A1S3BYQ1|A0A1S3BYQ1_CUCME	*-*	protein trichome birefringence-like 13		
OG0024790	tr|A0A1S3C4W0|A0A1S3C4W0_CUCME	*-*	non-specific phospholipase C3-like		
OG0009165	tr|A0A6P4BFW3|A0A6P4BFW3_ZIZJJ	***	protein kinase and PP2C-like domain-containing protein		
OG0022130	tr|A0A0A0KZE0|A0A0A0KZE0_CUCSA	*-*	PHB domain-containing protein		
OG0024791	tr|A0A0A0K3N6|A0A0A0K3N6_CUCSA	*-*	1-acylglycerol-3-phosphate O-acyltransferase		
OG0009160	tr|B9S0F8|B9S0F8_RICCO	***	Cytochrome P450, putative		
OG0009161	tr|A0A0A0LC92|A0A0A0LC92_CUCSA	***	WAT1-related protein		
OG0010159	tr|A0A1S3BT69|A0A1S3BT69_CUCME	***	translation initiation factor IF-2		
OG0010157	tr|A0A1S3BRU1|A0A1S3BRU1_CUCME	***	protein JASON		
OG0010158	tr|A0A0A0KYT5|A0A0A0KYT5_CUCSA	***	PH domain-containing protein		
OG0009166	tr|E5GBP2|E5GBP2_CUCME	***	Zinc finger protein		
OG0010155	tr|A0A6J1ETW3|A0A6J1ETW3_CUCMO	***	BTB/POZ domain and ankyrin repeat-containing protein NPR2-like		
OG0009167	tr|A0A0A0LHC5|A0A0A0LHC5_CUCSA	***	3'-5' exonuclease domain-containing protein		
OG0010156	sp|Q9SSU8|PSY_DAUCA	***	Phytoene synthase, chloroplastic		
OG0009168	tr|A0A5A7UFL6|A0A5A7UFL6_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0010153	sp|Q9SLQ8|PSBP_CUCSA	***	Oxygen-evolving enhancer protein 2, chloroplastic		
OG0009169	tr|A0A6J1D3F4|A0A6J1D3F4_MOMCH	***	transcription factor TGA2.3-like		
OG0010154	tr|A0A0A0KYT2|A0A0A0KYT2_CUCSA	***	Fucosyltransferase		
OG0010151	tr|A0A072UW35|A0A072UW35_MEDTR	***	Polyamine oxidase-like protein		
OG0010152	tr|A0A0A0KXG6|A0A0A0KXG6_CUCSA	***	Reticulon-like protein		
OG0010150	tr|A0A0A0L083|A0A0A0L083_CUCSA	***	GlcNAc kinase		
